id,fecha,hora,ruta,operador,nro_vuelo,tipo_aeronave,registro,cn_ln,total_a_bordo,cantidad_de_fallecidos,fallecidos_en_tierra
0,1908-09-17,17:18:00,"Fort Myer, Virginia",Military - U.S. Army,NaN,Wright Flyer III,NaN,1,2.0,1.0,0.0
1,1909-09-07,00:00:00,"Juvisy-sur-Orge, France",NaN,NaN,Wright Byplane,SC1,NaN,1.0,1.0,0.0
2,1912-07-12,06:30:00,"Atlantic City, New Jersey",Military - U.S. Navy,NaN,Dirigible,NaN,NaN,5.0,5.0,0.0
3,1913-08-06,00:00:00,"Victoria, British Columbia, Canada",Private,NaN,Curtiss seaplane,NaN,NaN,1.0,1.0,0.0
4,1913-09-09,18:30:00,Over the North Sea,Military - German Navy,NaN,Zeppelin L-1 (airship),NaN,NaN,20.0,14.0,0.0
5,1913-10-17,10:30:00,"Near Johannisthal, Germany",Military - German Navy,NaN,Zeppelin L-2 (airship),NaN,NaN,28.0,28.0,0.0
6,1915-03-05,01:00:00,"Tienen, Belgium",Military - German Navy,NaN,Zeppelin L-8 (airship),NaN,NaN,41.0,17.0,0.0
7,1915-09-03,15:20:00,"Off Cuxhaven, Germany",Military - German Navy,NaN,Zeppelin L-10 (airship),NaN,NaN,19.0,19.0,0.0
8,1916-07-28,00:00:00,"Near Jambol, Bulgeria",Military - German Army,NaN,Schutte-Lanz S-L-10 (airship),NaN,NaN,20.0,20.0,0.0
9,1916-09-24,01:00:00,"Billericay, England",Military - German Navy,NaN,Zeppelin L-32 (airship),NaN,NaN,22.0,22.0,0.0
10,1916-10-01,23:45:00,"Potters Bar, England",Military - German Navy,NaN,Zeppelin L-31 (airship),NaN,NaN,19.0,19.0,0.0
11,1916-11-21,00:00:00,"Mainz, Germany",Military - German Army,NaN,Super Zeppelin (airship),NaN,NaN,28.0,27.0,0.0
12,1916-11-28,23:45:00,"Off West Hartlepool, England",Military - German Navy,NaN,Zeppelin L-34 (airship),NaN,NaN,20.0,20.0,0.0
13,1917-03-04,00:00:00,"Near Gent, Belgium",Military - German Army,NaN,Airship,NaN,NaN,20.0,20.0,0.0
14,1917-03-30,00:00:00,Off Northern Germany,Military - German Navy,NaN,Schutte-Lanz S-L-9 (airship),NaN,NaN,23.0,23.0,0.0
15,1917-05-14,05:15:00,"Near Texel Island, North Sea",Military - German Navy,NaN,Zeppelin L-22 (airship),NaN,NaN,21.0,21.0,0.0
16,1917-06-14,08:45:00,"Off Vlieland Island, North Sea",Military - German Navy,NaN,Zeppelin L-43 (airship),NaN,NaN,24.0,24.0,0.0
17,1917-06-17,00:00:00,"Near Yarmouth, England",NaN,NaN,Zepplin L-48 (air ship),L-48,NaN,16.0,14.0,0.0
18,1917-08-21,07:00:00,Off western Denmark,Military - German Navy,NaN,Zeppelin L-23 (airship),NaN,NaN,18.0,18.0,0.0
19,1917-10-20,07:45:00,"Near Luneville, France",Military - German Navy,NaN,Zeppelin L-44 (airship),NaN,NaN,18.0,18.0,0.0
20,1918-04-07,21:30:00,Over the Mediterranean,Military - German Navy,NaN,Zeppelin L-59 (airship),NaN,NaN,23.0,23.0,0.0
21,1918-08-05,00:00:00,"Off Helgoland Island, Germany",Military - German Navy,NaN,Zeppelin L-70 (airship),NaN,NaN,22.0,22.0,0.0
22,1918-08-11,10:00:00,"Ameland Island, North Sea",Military - German Navy,NaN,Zeppelin L-53 (airship),NaN,NaN,19.0,19.0,0.0
23,1918-12-16,00:00:00,"Elizabeth, New Jersey",US Aerial Mail Service,NaN,De Havilland DH-4,97,NaN,1.0,1.0,0.0
24,1919-05-25,00:00:00,"Cleveland, Ohio",US Aerial Mail Service,NaN,De Havilland DH-4,61,NaN,1.0,1.0,0.0
25,1919-07-19,00:00:00,"Dix Run, Pennsylvania",US Aerial Mail Service,NaN,De Havilland DH-4,82,NaN,1.0,1.0,0.0
26,1919-07-21,16:55:00,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,NaN,FD Type Dirigible,NaN,NaN,,3.0,10.0
